id,lga_id,ward_name
7602,669,Gangare
7603,669,Sarkin Arab
7604,669,Tafawa Balewa
7605,669,Abba Na Shehu
7606,669,Vanderpuye
7607,669,Naraguta 'A'
7608,669,Garba Daho
7609,669,Ibrahim Katsina
7610,670,Vwang
7611,670,Turu
7612,670,Gyel 'B'
7613,670,Zawan 'B'
7614,670,Giring
7615,670,Du
7616,670,Shen
7617,670,Gyel 'A'
7618,670,Bukuru
7619,670,Zawan 'A'
7620,670,Kuru 'B'
7621,670,Kuru 'A'
7622,671,Dugub
7623,671,Gagdi
7624,671,Gumsher
7625,671,Gwamlar
7626,671,Namaran
7627,671,Kunkyam
7628,671,Jarmai
7629,671,Dengi
7630,671,Kanam
7631,671,Jom
7632,671,Kantana
7633,671,Munbutbo
7634,671,Birbyang
7635,671,Garga
7636,672,Ampang-East
7637,672,Nemel
7638,672,Kabwir Pada
7639,672,Dawaki
7640,672,Kabwir/Gyangyang
7641,672,Amper Seri
7642,672,Amper Chika 'A'
7643,672,Amper Chika 'B'
7644,672,Langshi
7645,672,Garram
7646,674,Nyer
7647,674,Mban/Zamko
7648,674,Funyalang
7649,674,Waroh
7650,674,Jat
7651,674,Kwande
7652,674,Reak
7653,674,Pil gani
7654,674,Pishe/Yashi
7655,674,Kuffen
7656,674,Kwallak
7657,674,Pajat
7658,674,Lipchok
7659,674,Keller
7660,673,Magama
7661,673,Sabon Gida
7662,673,Turaki
7663,673,Talgwang
7664,673,Lashel
7665,673,Mabudi
7666,673,Timbol
7667,673,Gamakai
7668,673,Fajul
7669,673,Dadin Kowa
7670,675,Jipal/Chakfem
7671,675,Gindiri II
7672,675,Chanso
7673,675,Gindiri I
7674,675,Jannaret
7675,675,Langai
7676,675,Mangu II
7677,675,Mangu I
7678,675,Kadun
7679,675,Mangu Halle
7680,675,Pushit
7681,675,Pan Yam
7682,675,Kombun
7683,675,Kerang
7684,675,Ampang west
7685,675,Mangun
7686,676,Koenoem 'A'
7687,676,Piapung 'A'
7688,676,Baltep
7689,676,Tunkus
7690,676,Lalin
7691,676,Garkawa North East
7692,676,Garkawa North
7693,676,Garkawa Central
7694,676,Koenoem 'B'
7695,676,Piapung 'B'
7696,677,Dok-Pai
7697,677,Tal
7698,677,Jiblik
7699,677,Kangshu
7700,677,Kadung
7701,677,Fier
7702,677,Lankan
7703,677,PankshinChigwong
7704,677,Pankshin Central
7705,677,Chip
7706,677,Wokkos
7707,677,PankshinSouth (Belning)
7708,678,Dokan Kasuwa
7709,678,Kwa
7710,678,Kwang
7711,678,Doemak-Goechim
7712,678,Bwall
7713,678,Doemak-Koplong
7714,678,Kwalla Yitla'ar
7715,678,Kwalla Moeda
7716,678,Namu
7717,678,Kurgwi
7718,678,Kwande
7719,679,Bum
7720,679,Attakar
7721,679,Danto
7722,679,Sopp
7723,679,Ra-Hoss
7724,679,Riyom
7725,679,Ta-Hoss
7726,679,Sharubutu
7727,679,Rim
7728,679,Jol/Kwi
7729,680,Kurungbau (B)
7730,680,Moekat
7731,680,Shimankar
7732,680,Kalong
7733,680,Yelwa
7734,680,Derteng
7735,680,Kurungbau (A)
7736,680,Pangshom
7737,680,Poeship
7738,680,Shendam Central (B)
7739,680,Shendam Central (A)
7740,681,Kadarko
7741,681,Bashar
7742,681,Yola Wakat
7743,681,Danbiram
7744,681,Mavo
7745,681,Saluwe
7746,681,Nyalum/Kampani
7747,681,Gudus
7748,681,Wase Tofa
7749,681,Kuyambana
7750,681,Kumbong
7751,681,Kumbur
